SMT SCHARF AG;DE0005751986;575198;S4A;DEUTSCHLAND
LS TELCOM AG;DE0005754402;575440;LSX;DEUTSCHLAND
INIT INNOVATION O.N.;DE0005759807;575980;IXX;DEUTSCHLAND
FIELMANN AG O.N.;DE0005772206;577220;FIE;MDAX
FRAPORT AG FFM.AIRPORT;DE0005773303;577330;FRA;MDAX
FORTEC ELEKTRO. O.N.;DE0005774103;577410;FEV;DEUTSCHLAND
FORIS AG;DE0005775803;577580;FRS;DEUTSCHLAND
FRESENIUS SE+CO.KGAA O.N.;DE0005785604;578560;FRE;DAX
FRESEN.MED.CARE KGAA O.N.;DE0005785802;578580;FME;DAX
FUCHS PETROLUB SE O.N.;DE0005790406;579040;FPE;MDAX
FUCHS PETROL.SE VZO O.N.;DE0005790430;579043;FPE3;MDAX
GFT TECHNOLOGIES SE;DE0005800601;580060;GFT;DEUTSCHLAND
DEUTSCHE BOERSE NA O.N.;DE0005810055;581005;DB1;DAX
ECOTEL COMMUNICATION AG;DE0005854343;585434;E4C;DEUTSCHLAND
MS INDUSTRIE AG;DE0005855183;585518;MSAG;DEUTSCHLAND
INVISION AG;DE0005859698;585969;IVX;DEUTSCHLAND
INTICA SYSTEMS AG;DE0005874846;587484;IS7;DEUTSCHLAND
DMG MORI AG O.N.;DE0005878003;587800;GIL;SDAX
GRAMMER AG O.N.;DE0005895403;589540;GMM;DEUTSCHLAND
BILFINGER SE O.N.;DE0005909006;590900;GBF;SDAX
YOC AG O.N.;DE0005932735;593273;YOC;DEUTSCHLAND
ISHARES MDAX UCITS ETF;DE0005933923;593392;EXS3;EXCHANGE TRADED FUNDS - PASSIV
ISH.STOXX EUROPE 50 U.ETF;DE0005933949;593394;EXW3;EXCHANGE TRADED FUNDS - PASSIV
ISHARES SLI UCITS ETF DE;DE0005933964;593396;EXI1;EXCHANGE TRADED FUNDS - PASSIV
ISHARES TECDAX UCITS ETF;DE0005933972;593397;EXS2;EXCHANGE TRADED FUNDS - PASSIV
ISH.S.EUR.LARGE 200 U.ETF;DE0005933980;593398;EXSC;EXCHANGE TRADED FUNDS - PASSIV
ISH.S.EUROP.MID 200 U.ETF;DE0005933998;593399;EXSD;EXCHANGE TRADED FUNDS - PASSIV
OHB SE   O.N.;DE0005936124;593612;OHB;DEUTSCHLAND
MAN SE ST O.N.;DE0005937007;593700;MAN;DEUTSCHLAND
MAN SE VZO O.N.;DE0005937031;593703;MAN3;DEUTSCHLAND
RINGMETALL AG O.N.;DE0006001902;600190;HP3;DEUTSCHLAND
HAMBORNER REIT AG O.N.;DE0006013006;601300;HAB;SDAX
HAWESKO HOLDING AG    SVG;DE0006042708;604270;HAW;DEUTSCHLAND
MATERNUS-KLI.AG O.N.;DE0006044001;604400;MAK;DEUTSCHLAND
BIOFRONTERA AG NA O.N.;DE0006046113;604611;B8F;DEUTSCHLAND
HEIDELBERGCEMENT AG O.N.;DE0006047004;604700;HEI;DAX
HENKEL AG+CO.KGAA ST O.N.;DE0006048408;604840;HEN;DAX
HENKEL AG+CO.KGAA VZO;DE0006048432;604843;HEN3;DAX
HMS BERGBAU AG;DE0006061104;606110;HMU;DEUTSCHLAND
COVESTRO AG  O.N.;DE0006062144;606214;1COV;DAX
HOCHTIEF AG;DE0006070006;607000;HOT;MDAX
HORNBACH HOLD.ST O.N.;DE0006083405;608340;HBH;SDAX
HORNBACH BAUMARKT AG O.N.;DE0006084403;608440;HBM;DEUTSCHLAND
ENCAVIS AG  INH. O.N.;DE0006095003;609500;CAP;SDAX
HAEMATO AG O.N.;DE0006190705;619070;HAE;DEUTSCHLAND
INDUS HOLDING AG;DE0006200108;620010;INH;SDAX
FRIWO AG O.N.;DE0006201106;620110;CEA;DEUTSCHLAND
SALZGITTER AG O.N.;DE0006202005;620200;SZG;SDAX
KUKA AG;DE0006204407;620440;KU2;DEUTSCHLAND
MVISE AG O.N.;DE0006204589;620458;C1V;DEUTSCHLAND
KAP AG  INH O.N.;DE0006208408;620840;IUR;DEUTSCHLAND
MUELLER-DIE LILA LOGISTIK;DE0006214687;621468;MLL;DEUTSCHLAND
JUNGHEINRICH AG O.N.VZO;DE0006219934;621993;Jun 03;SDAX
PROCREDIT HLDG AG NA EO 5;DE0006223407;622340;PCZ;DEUTSCHLAND
INTERTAINMENT AG INH O.N.;DE0006223605;622360;ITN;DEUTSCHLAND
INFINEON TECH.AG NA O.N.;DE0006231004;623100;IFX;DAX
OVB HOLDING AG;DE0006286560;628656;O4B;DEUTSCHLAND
ISHS ESTXX BNKS.30-15 UC.;DE0006289309;628930;EXX1;EXCHANGE TRADED FUNDS - PASSIV
ISHS ESTXX TELEC.30-15UC.;DE0006289317;628931;EXX2;EXCHANGE TRADED FUNDS - PASSIV
IS.DJ GLOB.TITAN.50 U.ETF;DE0006289382;628938;EXI2;EXCHANGE TRADED FUNDS - PASSIV
IS.DJ INDUST.AVERAG.U.ETF;DE0006289390;628939;EXI3;EXCHANGE TRADED FUNDS - PASSIV
ISH.EB.REXX GOV.GER.U.ETF;DE0006289465;628946;EXHA;EXCHANGE TRADED FUNDS - RENTEN
I.EB.R.G.G.1.5-2.5Y U.ETF;DE0006289473;628947;EXHB;EXCHANGE TRADED FUNDS - RENTEN
I.EB.R.GO.G.2.5-5.5 U.ETF;DE0006289481;628948;EXHC;EXCHANGE TRADED FUNDS - RENTEN
I.EB.R.G.G.5.5-10.5 U.ETF;DE0006289499;628949;EXHD;EXCHANGE TRADED FUNDS - RENTEN
KSB SE+CO.KGAA  ST O.N.;DE0006292006;629200;KSB;DEUTSCHLAND
KSB SE+CO.KGAA VZO O.N.;DE0006292030;629203;KSB3;DEUTSCHLAND
DEUTZ AG O.N.;DE0006305006;630500;DEZ;SDAX
KRONES AG O.N.;DE0006335003;633500;KRN;SDAX
LPKF LASER+ELECTRON.;DE0006450000;645000;LPK;DEUTSCHLAND
NEMETSCHEK SE O.N.;DE0006452907;645290;NEM;MDAX
LANG+SCHWARZ AG NA;DE0006459324;645932;LUS;DEUTSCHLAND
LEIFHEIT AG O.N.;DE0006464506;646450;LEI;DEUTSCHLAND
ALBIS LEASING AG O.N.;DE0006569403;656940;ALG;DEUTSCHLAND
MLP SE  INH. O.N.;DE0006569908;656990;MLP;DEUTSCHLAND
NANOREPRO AG;DE0006577109;657710;NN6;DEUTSCHLAND
KHD HUMBOLDT WEDAG O.N.;DE0006578008;657800;KWG;DEUTSCHLAND
MENSCH UND MASCH.O.N.;DE0006580806;658080;MUM;DEUTSCHLAND
MEDICLIN AG;DE0006595101;659510;MED;DEUTSCHLAND
MERCK KGAA O.N.;DE0006599905;659990;MRK;DAX
GEA GROUP AG;DE0006602006;660200;G1A;MDAX
MEDION AG O.N.;DE0006605009;660500;MDN;DEUTSCHLAND
MEDIQON GROUP AG O.N.;DE0006618309;661830;MCE;DEUTSCHLAND
MUEHLBAUER HOLD.AG O.N.;DE0006627201;662720;MUB;DEUTSCHLAND
MORPHOSYS AG O.N.;DE0006632003;663200;MOR;MDAX
VA-Q-TEC AG NA O.N.;DE0006636681;663668;VQT;DEUTSCHLAND
MWB FAIRTRADE WPHDLSBK AG;DE0006656101;665610;MWB;DEUTSCHLAND
AUDI AG O.N.;DE0006757008;675700;NSU;DEUTSCHLAND
AURUBIS AG;DE0006766504;676650;NDA;MDAX
PFEIFFER VACUUM TECH.O.N.;DE0006916604;691660;PFV;SDAX
